GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
RPL34P25	1.002486431	2.168095464	1.894513566	1.962864448	1.722925203	3.713056894	1.040429875	0.929792536	1.721684462	1.329812983	0.964895892	2.303670966	1.823311643	0.627941563	1.4804657	0.520573273	2.478186342	2.257585881	2.404431399	2.219976222
MIR4477A	0	4.213003686	4.908512421	2.542801671	0	0	2.695659222	0	0	0	0	0	0	0	0	0	0	0	3.737797903	6.470726148
RPL34P26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PYGO1	2.734965362	0.706263745	4.101433525	3.057174815	2.054569183	0.26115061	2.146513737	0.6890583	2.710745962	0.261719355	2.049613955	1.552968807	1.765349479	2.838185215	2.863455805	0.748971	1.350636183	0.70713031	2.927400239	1.248587948
PYGO2	8.449967582	14.71901602	7.18217242	11.01241026	8.417720278	10.78187653	11.20817806	9.459674179	7.40649165	9.486835641	8.353631698	10.90114488	7.538648263	6.865889356	7.690320981	10.54406431	11.39893782	10.96321713	10.78319433	9.430710311
OR13C9	0	0.145275989	0	0.292276054	0	0.361888133	0	0	0	0	0.057470288	0	0	0	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927181	2.612430169	3.340644916	2.455443562	2.516967692	2.036216806	2.624958284	2.18052357	1.476872209	2.326398018	0.880108448	1.969003809	2.541059412	1.039120036	1.800889011	1.2492638	1.234567094	1.987086559	2.700936731	2.625680965	2.272736905
HOXC13-AS	0	0.164570456	0.153391013	0.198656381	0	0	0	0	0	0	0	0	0	0	0	0.084297377	0	0	0	0
RPL34P30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL34P31	0	0	0	0	0	0.277505563	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927182	0	0.251864351	0	0	0	0	0	0	0	0	0	0.475758134	0	0	0.275173516	0.322529093	0	0	0	0
LOC101927180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR13C3	0.041050091	0.044389886	0.051718043	0.16075183	0	0	0.056805079	0	0	0	0	0	0	0.068568332	0	0	0	0	0.078765856	0.090904199
OR13C2	0	0.04842533	0	0.116910422	0	0.120629378	0.061969178	0	0	0	0	0.091472828	0.072398999	0	0	0.062011863	0	0.12412095	0	0
OR13C5	0	0.145275989	0	0	0	0	0	0.066455391	0	0	0	0.091472828	0	0	0	0	0	0	0	0
OR13C4	0	0.04842533	0.112839366	0.409186476	0	0.120629378	0	0	0	0	0	0	0	0.149603633	0	0	0	0	0	0
RTN4R	0.44665237	0.362243673	0.225090721	0.52472614	0.219325698	0.180472612	0.494461723	0.165705601	0.357973997	1.06648368	0.773827398	1.049196678	0.505472535	1.678655664	0.184691761	1.360706376	1.290997302	0.680886526	1.028430064	1.211645438
DDX11L5	0	0	0	0	0	0	0.035833536	0	0.118593371	0	0	0	0	0	0.030593309	0	0	0	0	0.057343797
DDX11L8	0	0	0	0.050603018	0	0	0	0.028764274	0	0.034282831	0	0	0	0	0.022900012	0	0.117947289	0.08058599	0	0
DDX11L9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071902996	0	0
LOC101927185	0	0.081019302	0.09439447	0	0	0	0	0	0	0	0	0.153041078	0	0	0.265552064	0	0.113977909	0.207663898	0	0
LOC101927183	0.038230415	0	0	0	1.42673225	0	0.211612856	0.226932416	0.175086555	1.419969796	0.098125006	0	0.741686092	0.638584641	0.0903335	0	0.988689727	0.370868085	0.440133205	0.253980331
HMMR	0.47754547	2.596744711	3.884928965	5.628002934	0.294794406	8.747300482	2.813234935	4.373488332	2.312023261	6.177851338	0.542811538	1.783676469	0.860282666	8.386948252	0.177316522	3.419773611	0.5604186	3.195551362	2.068224373	2.809955577
LOC101927187	5.832295087	11.6156975	5.673749931	6.842129561	7.975445569	8.352415508	7.45775833	7.449872602	6.085954379	7.638693183	8.621731252	11.23461241	7.459716022	8.262218191	5.756601514	7.871821169	7.580856253	15.14211448	7.932759718	9.64571064
LOC101927188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082704997
KYNUP1	0	0	0	0	0	0.058570428	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024075085
KYNUP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGGY	5.811899954	3.543331068	6.0403344	4.502345011	11.7881958	18.30352992	8.877776689	8.803881877	6.516073388	6.192058764	7.303698884	7.43293111	9.45187146	7.893111738	5.236380373	4.680760245	10.46798799	9.464459713	9.861168229	9.261253923
LOC101927192	2.499950537	0.386192005	1.488286138	0.824780542	0.971275417	0	2.318958126	0.815356532	2.138861851	0.242946603	2.044837063	0.953956054	1.954216068	1.973185604	2.044750896	0.76083786	1.671675994	0.83757772	1.844938708	0.182507661
LOC101927190	0.039462518	0	0.016572632	0	0.206696631	0	0.018202733	0	0	0	0.033762471	0	0.085065491	0	0	0.018215271	0	0	0.10095955	0.014564761
LOC101927191	0	0.983034193	0	0.508560334	0	0.69965039	0	0	0.297381862	0	0	0.530542404	0	0.650775802	0.460290245	0.179834403	0	0	0.498373054	0.431381743
